transition,prev_bucket,n,mean_prev,mean_next,mean_delta,total_delta_net,gross_positive_gain,share_of_total_positive_gain,pct_add,pct_stay_solved,pct_drop_to_zero,pct_move_up_bucket,pct_stay_same_bucket,pct_move_down_bucket
loop0->loop1,0,243,0.0,0.387,0.387,94,94,0.0356,0.152,0.152,0.848,0.152,0.848,0.0
loop0->loop1,1,52,1.0,3.712,2.712,141,150,0.0569,0.75,0.827,0.173,0.75,0.077,0.173
loop0->loop1,2-4,124,2.919,7.427,4.508,559,580,0.2199,0.839,0.96,0.04,0.806,0.121,0.073
loop0->loop1,5-8,147,6.49,11.891,5.401,794,830,0.3146,0.898,1.0,0.0,0.816,0.129,0.054
loop0->loop1,9-15,527,12.92,14.442,1.522,802,984,0.373,0.759,0.998,0.002,0.484,0.482,0.034
loop0->loop1,16,0,,,,,,,,,,,,
loop1->loop2,0,221,0.0,0.262,0.262,58,58,0.0615,0.109,0.109,0.891,0.109,0.891,0.0
loop1->loop2,1,27,1.0,2.333,1.333,36,45,0.0477,0.556,0.667,0.333,0.556,0.111,0.333
loop1->loop2,2-4,62,2.984,4.129,1.145,71,111,0.1177,0.516,0.839,0.161,0.435,0.339,0.226
loop1->loop2,5-8,102,6.549,8.52,1.971,201,272,0.2884,0.676,1.0,0.0,0.461,0.392,0.147
loop1->loop2,9-15,409,13.044,13.621,0.577,236,457,0.4846,0.599,1.0,0.0,0.269,0.677,0.054
loop1->loop2,16,272,16.0,15.75,-0.25,-68,0,0.0,0.0,1.0,0.0,0.0,0.82,0.18
pooled,0,464,0.0,0.328,0.328,152,152,0.0424,0.131,0.131,0.869,0.131,0.869,0.0
pooled,1,79,1.0,3.241,2.241,177,195,0.0545,0.684,0.772,0.228,0.684,0.089,0.228
pooled,2-4,186,2.941,6.328,3.387,630,691,0.193,0.731,0.919,0.081,0.683,0.194,0.124
pooled,5-8,249,6.514,10.51,3.996,995,1102,0.3077,0.807,1.0,0.0,0.671,0.237,0.092
pooled,9-15,936,12.974,14.083,1.109,1038,1441,0.4024,0.689,0.999,0.001,0.39,0.567,0.043
pooled,16,272,16.0,15.75,-0.25,-68,0,0.0,0.0,1.0,0.0,0.0,0.82,0.18
