loop_pair,prev_bucket,next_0,next_1,next_2-4,next_5-8,next_9-15,next_16,row_total
loop0->loop1,0,206,18,16,1,2,0,243
loop0->loop1,1,9,9,26,11,1,0,56
loop0->loop1,2-4,5,11,44,54,32,0,146
loop0->loop1,5-8,1,1,27,50,96,2,177
loop0->loop1,9-15,0,0,8,47,367,49,471
loop0->loop1,16,0,0,0,0,0,0,0
loop1->loop2,0,197,15,6,2,0,1,221
loop1->loop2,1,9,13,14,3,0,0,39
loop1->loop2,2-4,10,11,64,30,6,0,121
loop1->loop2,5-8,0,3,33,83,44,0,163
loop1->loop2,9-15,0,0,3,58,406,31,498
loop1->loop2,16,0,0,0,1,37,13,51
