loop_pair,prev_bucket,next_0,next_1,next_2-4,next_5-8,next_9-15,next_16,row_total
loop0->loop1,0,0.8477,0.0741,0.0658,0.0041,0.0082,0.0,243
loop0->loop1,1,0.1607,0.1607,0.4643,0.1964,0.0179,0.0,56
loop0->loop1,2-4,0.0342,0.0753,0.3014,0.3699,0.2192,0.0,146
loop0->loop1,5-8,0.0056,0.0056,0.1525,0.2825,0.5424,0.0113,177
loop0->loop1,9-15,0.0,0.0,0.017,0.0998,0.7792,0.104,471
loop0->loop1,16,,,,,,,0
loop1->loop2,0,0.8914,0.0679,0.0271,0.009,0.0,0.0045,221
loop1->loop2,1,0.2308,0.3333,0.359,0.0769,0.0,0.0,39
loop1->loop2,2-4,0.0826,0.0909,0.5289,0.2479,0.0496,0.0,121
loop1->loop2,5-8,0.0,0.0184,0.2025,0.5092,0.2699,0.0,163
loop1->loop2,9-15,0.0,0.0,0.006,0.1165,0.8153,0.0622,498
loop1->loop2,16,0.0,0.0,0.0,0.0196,0.7255,0.2549,51
