problem_id,problem_class,loop,ncand,cache_miss,raw_correct_count,exact_unique_correct_count,canonical_unique_correct_count,solved_any,bucket_raw,bucket_canonical_unique
cf-00000,informative,0,16,0,5,5,5,1,5-8,5-8
cf-00000,informative,1,16,0,11,11,11,1,9-15,9-15
cf-00000,informative,2,16,0,10,10,10,1,9-15,9-15
cf-00002,impossible,0,16,0,0,0,0,0,0,0
cf-00002,impossible,1,16,0,1,1,1,1,1,1
cf-00002,impossible,2,16,0,4,4,4,1,2-4,2-4
cf-00004,informative,0,16,0,15,4,3,1,9-15,2-4
cf-00004,informative,1,16,0,16,3,3,1,16,2-4
cf-00004,informative,2,16,0,16,2,2,1,16,2-4
cf-00005,informative,0,16,0,12,12,12,1,9-15,9-15
cf-00005,informative,1,16,0,14,13,13,1,9-15,9-15
cf-00005,informative,2,16,0,13,9,9,1,9-15,9-15
cf-00006,informative,0,16,0,13,13,13,1,9-15,9-15
cf-00006,informative,1,16,0,13,13,12,1,9-15,9-15
cf-00006,informative,2,16,0,11,11,10,1,9-15,9-15
cf-00007,informative,0,16,0,14,14,14,1,9-15,9-15
cf-00007,informative,1,16,0,15,11,11,1,9-15,9-15
cf-00007,informative,2,16,0,16,7,7,1,16,5-8
cf-00010,impossible,0,16,0,0,0,0,0,0,0
cf-00010,impossible,1,16,0,0,0,0,0,0,0
cf-00010,impossible,2,16,0,1,1,1,1,1,1
cf-00011,informative,0,16,0,6,6,6,1,5-8,5-8
cf-00011,informative,1,16,0,14,14,12,1,9-15,9-15
cf-00011,informative,2,16,0,11,11,10,1,9-15,9-15
cf-00012,impossible,0,16,0,0,0,0,0,0,0
cf-00012,impossible,1,16,0,0,0,0,0,0,0
cf-00012,impossible,2,16,0,0,0,0,0,0,0
cf-00014,informative,0,16,0,1,1,1,1,1,1
cf-00014,informative,1,16,0,5,5,5,1,5-8,5-8
cf-00014,informative,2,16,0,9,9,9,1,9-15,9-15
cf-00015,informative,0,16,0,15,15,15,1,9-15,9-15
cf-00015,informative,1,16,0,15,15,15,1,9-15,9-15
cf-00015,informative,2,16,0,14,13,12,1,9-15,9-15
cf-00016,informative,0,16,0,7,5,4,1,5-8,2-4
cf-00016,informative,1,16,0,8,6,4,1,5-8,2-4
cf-00016,informative,2,16,0,7,7,5,1,5-8,5-8
cf-00017,impossible,0,16,0,0,0,0,0,0,0
cf-00017,impossible,1,16,0,1,1,1,1,1,1
cf-00017,impossible,2,16,0,5,5,3,1,5-8,2-4
cf-00018,informative,0,16,0,7,7,6,1,5-8,5-8
cf-00018,informative,1,16,0,16,15,10,1,16,9-15
cf-00018,informative,2,16,0,15,12,9,1,9-15,9-15
cf-00019,informative,0,16,0,7,7,7,1,5-8,5-8
cf-00019,informative,1,16,0,14,14,13,1,9-15,9-15
cf-00019,informative,2,16,0,16,16,13,1,16,9-15
cf-00021,informative,0,16,0,14,14,14,1,9-15,9-15
cf-00021,informative,1,16,0,16,14,14,1,16,9-15
cf-00021,informative,2,16,0,15,12,10,1,9-15,9-15
cf-00023,informative,0,16,0,13,7,2,1,9-15,2-4
cf-00023,informative,1,16,0,16,6,2,1,16,2-4
cf-00023,informative,2,16,0,16,4,2,1,16,2-4
cf-00027,impossible,0,16,0,0,0,0,0,0,0
cf-00027,impossible,1,16,0,0,0,0,0,0,0
cf-00027,impossible,2,16,0,0,0,0,0,0,0
cf-00028,impossible,0,16,0,0,0,0,0,0,0
cf-00028,impossible,1,16,0,4,4,4,1,2-4,2-4
cf-00028,impossible,2,16,0,9,9,9,1,9-15,9-15
cf-00029,informative,0,16,0,2,2,2,1,2-4,2-4
cf-00029,informative,1,16,0,10,10,9,1,9-15,9-15
cf-00029,informative,2,16,0,15,15,14,1,9-15,9-15
cf-00030,informative,0,16,0,11,11,11,1,9-15,9-15
cf-00030,informative,1,16,0,11,11,11,1,9-15,9-15
cf-00030,informative,2,16,0,11,11,11,1,9-15,9-15
cf-00031,informative,0,16,0,7,7,7,1,5-8,5-8
cf-00031,informative,1,16,0,13,13,13,1,9-15,9-15
cf-00031,informative,2,16,0,11,11,11,1,9-15,9-15
cf-00032,informative,0,16,0,2,2,2,1,2-4,2-4
cf-00032,informative,1,16,0,8,8,5,1,5-8,5-8
cf-00032,informative,2,16,0,12,11,8,1,9-15,5-8
cf-00033,informative,0,16,0,15,15,15,1,9-15,9-15
cf-00033,informative,1,16,0,16,14,14,1,16,9-15
cf-00033,informative,2,16,0,16,15,15,1,16,9-15
cf-00034,informative,0,16,0,10,10,10,1,9-15,9-15
cf-00034,informative,1,16,0,15,15,15,1,9-15,9-15
cf-00034,informative,2,16,0,16,16,15,1,16,9-15
cf-00035,informative,0,16,0,6,6,6,1,5-8,5-8
cf-00035,informative,1,16,0,9,9,8,1,9-15,5-8
cf-00035,informative,2,16,0,8,8,8,1,5-8,5-8
cf-00036,impossible,0,16,0,0,0,0,0,0,0
cf-00036,impossible,1,16,0,0,0,0,0,0,0
cf-00036,impossible,2,16,0,0,0,0,0,0,0
cf-00038,informative,0,16,0,4,4,4,1,2-4,2-4
cf-00038,informative,1,16,0,11,10,9,1,9-15,9-15
cf-00038,informative,2,16,0,12,12,10,1,9-15,9-15
cf-00039,impossible,0,16,0,0,0,0,0,0,0
cf-00039,impossible,1,16,0,3,3,3,1,2-4,2-4
