loop_pair,prev_bucket,next_0,next_1,next_2-4,next_5-8,next_9-15,next_16,row_total
loop0->loop1,0,206,18,15,2,1,1,243
loop0->loop1,1,9,4,21,15,3,0,52
loop0->loop1,2-4,5,4,15,53,46,1,124
loop0->loop1,5-8,0,1,7,19,105,15,147
loop0->loop1,9-15,1,0,4,13,254,255,527
loop0->loop1,16,0,0,0,0,0,0,0
loop1->loop2,0,197,15,6,2,0,1,221
loop1->loop2,1,9,3,10,5,0,0,27
loop1->loop2,2-4,10,4,21,20,7,0,62
loop1->loop2,5-8,0,1,14,40,46,1,102
loop1->loop2,9-15,0,1,0,21,277,110,409
loop1->loop2,16,0,0,0,0,49,223,272
