loop_pair,prev_bucket,next_0,next_1,next_2-4,next_5-8,next_9-15,next_16,row_total
loop0->loop1,0,0.8477,0.0741,0.0617,0.0082,0.0041,0.0041,243
loop0->loop1,1,0.1731,0.0769,0.4038,0.2885,0.0577,0.0,52
loop0->loop1,2-4,0.0403,0.0323,0.121,0.4274,0.371,0.0081,124
loop0->loop1,5-8,0.0,0.0068,0.0476,0.1293,0.7143,0.102,147
loop0->loop1,9-15,0.0019,0.0,0.0076,0.0247,0.482,0.4839,527
loop0->loop1,16,,,,,,,0
loop1->loop2,0,0.8914,0.0679,0.0271,0.009,0.0,0.0045,221
loop1->loop2,1,0.3333,0.1111,0.3704,0.1852,0.0,0.0,27
loop1->loop2,2-4,0.1613,0.0645,0.3387,0.3226,0.1129,0.0,62
loop1->loop2,5-8,0.0,0.0098,0.1373,0.3922,0.451,0.0098,102
loop1->loop2,9-15,0.0,0.0024,0.0,0.0513,0.6773,0.2689,409
loop1->loop2,16,0.0,0.0,0.0,0.0,0.1801,0.8199,272
