bucket_loop0,loop,n_problems,avg_correct,avg_density,avg_unique,avg_unique_density,improved_vs_prev,plateaued_vs_prev,worsened_vs_prev,newly_solved_vs_prev,remaining_unsolved,pct_improved,pct_worsened
0,0,243,0.0,0.0,0.0,0.0,,,,,243,,
0,1,243,0.39,0.0242,0.36,0.0224,37,206,0,37,206,15.2,0.0
0,2,243,0.92,0.0576,0.83,0.052,44,192,7,20,193,18.1,2.9
0,3,45,1.38,0.0861,1.27,0.0792,6,38,1,0,36,13.3,2.2
1,0,52,1.0,0.0625,1.0,0.0625,,,,,0,,
1,1,52,3.71,0.232,3.27,0.2043,39,4,9,0,9,75.0,17.3
1,2,52,6.23,0.3894,5.12,0.3197,34,9,9,2,11,65.4,17.3
1,3,17,6.06,0.3787,4.24,0.2647,7,4,6,1,6,41.2,35.3
2-4,0,124,2.92,0.1825,2.85,0.1779,,,,,0,,
2-4,1,124,7.43,0.4642,6.64,0.4148,104,9,11,0,5,83.9,8.9
2-4,2,124,9.16,0.5726,8.09,0.5055,85,13,26,2,8,68.5,21.0
2-4,3,30,9.57,0.5979,7.23,0.4521,13,7,10,1,2,43.3,33.3
5-8,0,147,6.49,0.4056,6.29,0.3933,,,,,0,,
5-8,1,147,11.89,0.7432,10.46,0.6535,132,4,11,0,0,89.8,7.5
5-8,2,147,12.15,0.7594,10.54,0.6586,72,27,48,0,3,49.0,32.7
5-8,3,38,14.42,0.9013,11.0,0.6875,16,14,8,0,0,42.1,21.1
9-15,0,527,12.92,0.8075,11.87,0.7417,,,,,0,,
9-15,1,527,14.44,0.9026,12.14,0.7588,400,61,66,0,1,75.9,12.5
9-15,2,527,14.48,0.905,11.51,0.7193,150,252,125,0,1,28.5,23.7
9-15,3,128,14.48,0.9053,10.66,0.666,29,79,20,0,1,22.7,15.6
