problem_id,loop0_correct,loop0_unique,loop0_ncand,loop0_miss,loop1_correct,loop1_unique,loop1_ncand,loop1_miss,loop2_correct,loop2_unique,loop2_ncand,loop2_miss,loop3_correct,loop3_unique,loop3_ncand,loop3_miss,problem_class_ref
cf-00000,5,5,16,0,11,11,16,0,10,10,16,0,,,,,informative
cf-00002,0,0,16,0,1,1,16,0,4,4,16,0,,,,,impossible
cf-00004,15,3,16,0,16,3,16,0,16,2,16,0,16,1,16,0,informative
cf-00005,12,12,16,0,14,13,16,0,13,9,16,0,12,6,16,0,informative
cf-00006,13,13,16,0,13,13,16,0,11,11,16,0,,,,,informative
cf-00007,14,14,16,0,15,11,16,0,16,7,16,0,14,2,16,2,informative
cf-00010,0,0,16,0,0,0,16,0,1,1,16,0,0,0,16,14,impossible
cf-00011,6,6,16,0,14,14,16,0,11,11,16,0,,,,,informative
cf-00012,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00014,1,1,16,0,5,5,16,0,9,9,16,0,,,,,informative
cf-00015,15,15,16,0,15,15,16,0,14,12,16,0,,,,,informative
cf-00016,7,4,16,0,8,5,16,0,7,6,16,0,6,2,16,0,informative
cf-00017,0,0,16,0,1,1,16,0,5,5,16,0,12,11,16,0,impossible
cf-00018,7,7,16,0,16,15,16,0,15,12,16,0,,,,,informative
cf-00019,7,7,16,0,14,14,16,0,16,16,16,0,0,0,16,16,informative
cf-00021,14,14,16,0,16,14,16,0,15,10,16,0,7,2,16,9,informative
cf-00023,13,3,16,0,16,2,16,0,16,2,16,0,,,,,informative
cf-00027,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00028,0,0,16,0,4,4,16,0,9,9,16,0,,,,,impossible
cf-00029,2,2,16,0,10,10,16,0,15,15,16,0,,,,,informative
cf-00030,11,11,16,0,11,11,16,0,11,11,16,0,15,15,16,0,informative
cf-00031,7,7,16,0,13,13,16,0,11,11,16,0,11,11,16,0,informative
cf-00032,2,2,16,0,8,8,16,0,12,11,16,0,,,,,informative
cf-00033,15,15,16,0,16,14,16,0,16,15,16,0,3,3,16,13,informative
cf-00034,10,10,16,0,15,15,16,0,16,16,16,0,1,1,16,15,informative
cf-00035,6,6,16,0,9,9,16,0,8,8,16,0,,,,,informative
cf-00036,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00038,4,4,16,0,11,10,16,0,12,12,16,0,,,,,informative
cf-00039,0,0,16,0,3,3,16,0,4,4,16,0,,,,,impossible
cf-00040,15,15,16,0,16,16,16,0,16,15,16,0,16,13,16,0,informative
cf-00041,15,15,16,0,16,16,16,0,16,16,16,0,16,16,16,0,informative
cf-00042,15,15,16,0,16,16,16,0,16,15,16,0,,,,,informative
cf-00043,3,3,16,0,5,3,16,0,8,3,16,0,14,2,16,2,informative
cf-00045,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,14,impossible
cf-00047,10,10,16,0,9,9,16,0,11,7,16,0,,,,,informative
cf-00048,1,1,16,0,3,3,16,0,5,5,16,0,,,,,informative
cf-00049,3,3,16,0,8,6,16,0,16,13,16,0,,,,,informative
cf-00051,1,1,16,0,4,2,16,0,9,2,16,0,,,,,informative
cf-00052,1,1,16,0,4,4,16,0,7,7,16,0,8,8,16,0,informative
cf-00053,11,3,16,0,16,2,16,0,16,1,16,0,16,1,16,0,informative
cf-00054,9,9,16,0,11,11,16,0,9,7,16,0,,,,,informative
cf-00055,1,1,16,0,3,3,16,0,10,10,16,0,0,0,16,16,informative
cf-00056,15,15,16,0,15,15,16,0,15,15,16,0,0,0,16,16,informative
cf-00057,14,14,16,0,15,15,16,0,14,14,16,0,,,,,informative
cf-00058,0,0,16,0,1,1,16,0,0,0,16,0,,,,,impossible
cf-00060,13,13,16,0,14,14,16,0,15,15,16,0,,,,,informative
cf-00061,0,0,16,0,0,0,16,0,1,1,16,0,,,,,impossible
cf-00062,5,5,16,0,10,10,16,0,14,14,16,0,13,13,16,0,informative
cf-00063,8,6,16,0,11,9,16,0,9,8,16,0,6,5,16,0,informative
cf-00064,11,11,16,0,12,12,16,0,15,15,16,0,,,,,informative
cf-00065,14,14,16,0,11,11,16,0,13,13,16,0,2,2,16,14,informative
cf-00066,13,13,16,0,12,11,16,0,14,14,16,0,1,1,16,15,informative
cf-00067,15,15,16,0,16,16,16,0,16,16,16,0,,,,,informative
cf-00069,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00070,15,15,16,0,16,16,16,0,16,16,16,0,,,,,informative
cf-00072,10,10,16,0,16,13,16,0,16,13,16,0,,,,,informative
cf-00073,4,4,16,0,11,11,16,0,15,15,16,0,15,15,16,0,informative
cf-00075,11,11,16,0,16,16,16,0,13,13,16,0,12,12,16,0,informative
cf-00076,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00077,13,10,16,0,16,9,16,0,15,9,16,0,9,5,16,7,informative
cf-00079,9,9,16,0,16,16,16,0,15,15,16,0,1,1,16,15,informative
cf-00080,15,10,16,0,16,9,16,0,16,10,16,0,,,,,informative
cf-00081,2,2,16,0,1,1,16,0,5,5,16,0,,,,,informative
cf-00082,1,1,16,0,0,0,16,0,0,0,16,0,,,,,informative
cf-00083,5,5,16,0,12,12,16,0,9,9,16,0,,,,,informative
cf-00084,8,8,16,0,15,15,16,0,16,16,16,0,15,15,16,0,informative
cf-00085,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,0,impossible
cf-00087,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00089,15,6,16,0,16,4,16,0,13,4,16,0,14,4,16,2,informative
cf-00090,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,16,impossible
cf-00092,3,3,16,0,14,12,16,0,14,13,16,0,,,,,informative
cf-00093,13,13,16,0,12,12,16,0,13,13,16,0,,,,,informative
cf-00095,12,12,16,0,16,15,16,0,16,12,16,0,,,,,informative
cf-00097,8,8,16,0,14,14,16,0,13,13,16,0,,,,,informative
cf-00098,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,0,impossible
cf-00100,14,14,16,0,14,12,16,0,14,11,16,0,16,8,16,0,informative
cf-00101,14,3,16,0,16,6,16,0,16,6,16,0,,,,,informative
cf-00102,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,16,impossible
cf-00104,0,0,16,0,0,0,16,0,0,0,16,0,0,0,16,16,impossible
cf-00106,14,14,16,0,16,16,16,0,16,16,16,0,,,,,informative
cf-00107,15,15,16,0,16,16,16,0,16,14,16,0,,,,,informative
cf-00108,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00109,5,5,16,0,8,8,16,0,7,6,16,0,,,,,informative
cf-00110,8,8,16,0,13,9,16,0,12,8,16,0,11,6,16,0,informative
cf-00114,10,10,16,0,13,12,16,0,16,15,16,0,16,16,16,0,informative
cf-00115,8,8,16,0,1,1,16,0,0,0,16,0,,,,,informative
cf-00116,15,9,16,0,12,7,16,0,5,2,16,0,2,1,16,5,informative
cf-00117,2,2,16,0,7,6,16,0,11,9,16,0,0,0,16,16,informative
cf-00118,0,0,16,0,0,0,16,0,0,0,16,0,,,,,impossible
cf-00121,15,8,16,0,16,6,16,0,16,6,16,0,,,,,informative
cf-00122,3,3,16,0,5,5,16,0,6,6,16,0,,,,,impossible
cf-00123,2,2,16,0,9,8,16,0,12,12,16,0,,,,,informative
cf-00124,15,15,16,0,15,15,16,0,15,14,16,0,16,15,16,0,informative
