bucket_loop0,loop,n_solved,sum_raw_correct,sum_exact_unique,sum_canonical_unique,pooled_dup_factor,pooled_frac_dup_candidates,exact_vs_canonical_extra_merge
0,0,0,0,0,0,,,0
0,1,37,94,89,85,1.106,0.0957,4
0,2,50,224,204,185,1.211,0.1741,19
1,0,52,52,52,52,1.0,0.0,0
1,1,43,193,171,160,1.206,0.171,11
1,2,41,324,272,239,1.356,0.2623,33
2-4,0,124,362,354,353,1.025,0.0249,1
2-4,1,119,921,829,738,1.248,0.1987,91
2-4,2,116,1136,1013,911,1.247,0.1981,102
5-8,0,147,954,934,915,1.043,0.0409,19
5-8,1,147,1748,1562,1416,1.234,0.1899,146
5-8,2,144,1786,1565,1422,1.256,0.2038,143
9-15,0,527,6809,6320,6112,1.114,0.1024,208
9-15,1,526,7611,6522,6047,1.259,0.2055,475
9-15,2,526,7631,6208,5593,1.364,0.2671,615
