problem_id,class,loop0_raw,loop1_raw,loop2_raw,loop1_canonical_unique,loop2_canonical_unique,loop1_new_unique,loop2_new_unique,first_solved_loop,loop2_solved,loop2_new_canonical_vs_loop1
cf-00002,impossible,0,1,4,1,4,1,3,1,1,3
cf-00010,impossible,0,0,1,0,1,0,1,2,1,1
cf-00012,impossible,0,0,0,0,0,0,0,,0,0
cf-00017,impossible,0,1,5,1,3,1,3,1,1,3
cf-00027,impossible,0,0,0,0,0,0,0,,0,0
cf-00028,impossible,0,4,9,4,9,4,8,1,1,8
cf-00036,impossible,0,0,0,0,0,0,0,,0,0
cf-00039,impossible,0,3,4,3,4,3,4,1,1,4
cf-00045,impossible,0,0,0,0,0,0,0,,0,0
cf-00058,impossible,0,1,0,1,0,1,0,1,0,0
cf-00061,impossible,0,0,1,0,1,0,1,2,1,1
cf-00069,impossible,0,0,0,0,0,0,0,,0,0
cf-00076,impossible,0,0,0,0,0,0,0,,0,0
cf-00085,impossible,0,0,0,0,0,0,0,,0,0
cf-00087,impossible,0,0,0,0,0,0,0,,0,0
cf-00090,impossible,0,0,0,0,0,0,0,,0,0
cf-00098,impossible,0,0,0,0,0,0,0,,0,0
cf-00102,impossible,0,0,0,0,0,0,0,,0,0
cf-00104,impossible,0,0,0,0,0,0,0,,0,0
cf-00108,impossible,0,0,0,0,0,0,0,,0,0
cf-00118,impossible,0,0,0,0,0,0,0,,0,0
cf-00129,impossible,0,0,2,0,2,0,2,2,1,2
cf-00132,impossible,0,0,0,0,0,0,0,,0,0
cf-00138,impossible,0,0,0,0,0,0,0,,0,0
cf-00153,impossible,0,0,0,0,0,0,0,,0,0
cf-00156,impossible,0,0,0,0,0,0,0,,0,0
cf-00172,impossible,0,0,0,0,0,0,0,,0,0
cf-00177,impossible,0,0,0,0,0,0,0,,0,0
cf-00185,impossible,0,1,3,1,2,1,1,1,1,1
cf-00189,impossible,0,0,0,0,0,0,0,,0,0
cf-00192,impossible,0,0,0,0,0,0,0,,0,0
cf-00195,impossible,0,0,0,0,0,0,0,,0,0
cf-00210,impossible,0,0,0,0,0,0,0,,0,0
cf-00211,impossible,0,0,0,0,0,0,0,,0,0
cf-00217,impossible,0,0,0,0,0,0,0,,0,0
cf-00224,impossible,0,0,1,0,1,0,1,2,1,1
cf-00229,impossible,0,0,0,0,0,0,0,,0,0
cf-00246,impossible,0,2,2,2,2,2,1,1,1,1
cf-00249,impossible,0,0,0,0,0,0,0,,0,0
cf-00253,impossible,0,0,0,0,0,0,0,,0,0
cf-00258,impossible,0,0,0,0,0,0,0,,0,0
cf-00265,impossible,0,0,0,0,0,0,0,,0,0
cf-00271,impossible,0,0,0,0,0,0,0,,0,0
cf-00277,impossible,0,0,0,0,0,0,0,,0,0
cf-00284,impossible,0,0,0,0,0,0,0,,0,0
cf-00286,impossible,0,0,0,0,0,0,0,,0,0
cf-00288,impossible,0,0,0,0,0,0,0,,0,0
cf-00290,impossible,0,1,0,1,0,1,0,1,0,0
cf-00301,impossible,0,1,3,1,3,1,3,1,1,3
cf-00310,impossible,0,0,0,0,0,0,0,,0,0
cf-00313,impossible,0,0,0,0,0,0,0,,0,0
cf-00315,impossible,0,0,0,0,0,0,0,,0,0
cf-00318,impossible,0,0,0,0,0,0,0,,0,0
cf-00319,impossible,0,0,0,0,0,0,0,,0,0
cf-00323,impossible,0,0,0,0,0,0,0,,0,0
cf-00333,impossible,0,0,0,0,0,0,0,,0,0
cf-00336,impossible,0,0,0,0,0,0,0,,0,0
cf-00337,impossible,0,0,0,0,0,0,0,,0,0
cf-00343,impossible,0,1,8,1,7,1,6,1,1,6
cf-00346,impossible,0,1,4,1,4,1,4,1,1,4
cf-00356,impossible,0,0,0,0,0,0,0,,0,0
cf-00359,impossible,0,0,1,0,1,0,1,2,1,1
cf-00393,impossible,0,0,0,0,0,0,0,,0,0
cf-00402,impossible,0,0,0,0,0,0,0,,0,0
cf-00404,impossible,0,0,0,0,0,0,0,,0,0
cf-00405,impossible,0,0,0,0,0,0,0,,0,0
cf-00411,impossible,0,0,0,0,0,0,0,,0,0
cf-00412,impossible,0,0,0,0,0,0,0,,0,0
cf-00419,impossible,0,11,12,11,11,11,10,1,1,10
cf-00421,impossible,0,1,0,1,0,1,0,1,0,0
cf-00424,impossible,0,0,0,0,0,0,0,,0,0
cf-00427,impossible,0,0,0,0,0,0,0,,0,0
cf-00431,impossible,0,0,0,0,0,0,0,,0,0
cf-00436,impossible,0,0,0,0,0,0,0,,0,0
cf-00444,impossible,0,0,0,0,0,0,0,,0,0
cf-00451,impossible,0,0,0,0,0,0,0,,0,0
cf-00464,impossible,0,0,0,0,0,0,0,,0,0
cf-00473,impossible,0,0,0,0,0,0,0,,0,0
cf-00476,impossible,0,0,0,0,0,0,0,,0,0
